Banco;ID;Emp;Tipo;Regra;Descricao;Debito;D-Terc;D-C/C;Credito;C-Terc;C-C/C;Historico;Debito;D-Terc;D-C/C;Credito;C-Terc;C-C/C;Historico;
237;2167;9999;D;COM;ADIANT 13SALARIO VIA NET;1191201;;;#BCO;;;ADIANT 13SALARIO VIA NET;;;;;;;;
237;2750;9999;D;COM;ADIANT SALARIO VIA NET;1191201;;;#BCO;;;ADIANT SALARIO VIA NET;;;;;;;;
237;12296;9999;D;COM;ADIANTAMENTO DE DIARIAS;1191201;;;#BCO;;;ADIANTAMENTO DE DIARIAS;;;;;;;;
237;135;9999;D;COM;ADITAMENTO OPER DESCONTO;1191201;;;#BCO;;;ADITAMENTO OPER DESCONTO;11239;;;11529;;;Pagto de Adiant. De Salario;
237;5798;9999;C;COM;AMEX CREDITO BCO BRADESCO CARTOES S/A PAGFO;#BCO;;;1191101;;;AMEX CREDITO BCO BRADESCO CARTOES S/A PAGFO;11531;;;11213;161487;;Recebimento de cartao;
237;5782;9999;C;COM;ANTECIPACAO DE CARTAO;#BCO;;;1191101;;;ANTECIPACAO DE CARTAO;;;;;;;;
237;1270;1069;C;COM;ANTECIPACAO DE CARTAO;#BCO;;;11211;151299;;ANTECIPACAO DE CARTAO;;;;;;;;
237;1262;1028;C;COM;ANTECIPACAO DE CARTAO;#BCO;;;11211;151299;;ANTECIPACAO DE CARTAO;;;;;;;;
237;1284;1026;C;COM;ANTECIPACAO DE CARTAO;#BCO;;;11211;151299;;ANTECIPACAO DE CARTAO;;;;;;;;
237;1261;9999;D;COM;ANTECIPACAO DE CARTAO;;;;#BCO;;;ANTECIPACAO DE CARTAO;;;;;;;;
237;1283;1026;D;COM;ANTECIPACAO DE CARTAO;;;;#BCO;;;ANTECIPACAO DE CARTAO;;;;;;;;
237;4691;9999;C;COM;ANTECIPACAO DE CARTAO 2017002616378;#BCO;;;11211;151299;;ANTECIPACAO DE CARTAO 2017002616378;;;;;;;;
237;4692;9999;C;COM;ANTECIPACAO DE CARTAO 2017002786193;#BCO;;;11211;151299;;ANTECIPACAO DE CARTAO 2017002786193;;;;;;;;
237;12804;0834;D;COM;APLI. INVEST FAC;500545;;;100481;;;APLI. INVEST FAC;;;;;;;;
237;12582;2196;D;COM;APLIC.INVEST FACIL;05965;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;11783;2140;D;COM;APLIC.INVEST FACIL;05933;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;11781;2139;D;COM;APLIC.INVEST FACIL;05932;;;#BCO;;;APLIC.INVEST FACIL;;;;;;;;
237;12775;2107;D;COM;APLIC.INVEST FACIL;05878;;;00884;;;APLIC.INVEST FACIL;;;;;;;;
