Banco;ID;Emp;Tipo;Regra;Descricao;Debito;D-Terc;D-C/C;Credito;C-Terc;C-C/C;Historico
237;2167;9999;D;COM;ADIANT 13SALARIO VIA NET;1191201;;;#BCO;;;ADIANT 13SALARIO VIA NET
237;2750;9999;D;COM;ADIANT SALARIO VIA NET;1191201;;;#BCO;;;ADIANT SALARIO VIA NET
237;12296;9999;D;COM;ADIANTAMENTO DE DIARIAS;1191201;;;#BCO;;;ADIANTAMENTO DE DIARIAS
237;135;9999;D;COM;ADITAMENTO OPER DESCONTO;1191201;;;#BCO;;;ADITAMENTO OPER DESCONTO
237;5798;9999;C;COM;AMEX CREDITO BCO BRADESCO CARTOES S/A PAGFO;#BCO;;;1191101;;;AMEX CREDITO BCO BRADESCO CARTOES S/A PAGFO
237;1270;9999;C;COM;ANTECIPACAO DE CARTAO;#BCO;;;11211;151299;;ANTECIPACAO DE CARTAO
237;12804;9999;D;COM;APLI. INVEST FAC;500545;;;100481;;;APLI. INVEST FAC
237;12582;9999;D;COM;APLIC.INVEST FACIL;05965;;;#BCO;;;APLIC.INVEST FACIL
237;6065;9999;D;COM;APLIC.INVEST PLUS;05246;;;#BCO;;;APLIC.INVEST PLUS
237;1127;9999;D;COM;APLICACAO AUTOMATICA;05231;;;#BCO;;;APLICACAO AUTOMATICA
237;12727;9999;D;COM;APLICACAO CDB;05560;;;#BCO;;;APLICACAOATE DE INVESTIMENTOS
237;1215;9999;D;COM;APLICACAO EM FUNDOS;1191301;;;#BCO;;;APLICACAO EM FUNDOS
237;158;9999;D;COM;APLICACAO EM FUNDOS BRAD E FICFIDI TOP;05024;;;#BCO;;;APLICACAO EM FUNDOS BRAD E FICFIDI TOP
237;6263;9999;D;COM;APLICACAO EM FUNDOS FIC RF DI HIPERFUNDO;05123;;;#BCO;;;APLICACAO EM FUNDOS FIC RF DI HIPERFUNDO
237;3703;9999;D;COM;APLICACAO EM FUNDOS FICFIRF DI SPECIAL;05024;;;#BCO;;;APLICACAO EM FUNDOS FICFIRF DI SPECIAL
237;11593;9999;D;COM;APLICACAO EM FUNDOS FICFIRF SIMPLES ONIX;05001;;;#BCO;;;APLICACAO EM FUNDOS FICFIRF SIMPLES ONIX
237;12619;9999;D;COM;APLICACAO EM FUNDOS SIMPLES AUTOM;05983;;;00987;;;APLICACAO EM FUNDOS SIMPLES AUTOM
237;1129;9999;D;COM;APLICACAO EM PAPEIS;11812;;;#BCO;;;APLICACAO EM PAPEIS
237;11767;9999;C;COM;APLICACAO INVESTIMENTOS;1100003;;;#BCO;;;APLICACAO INVESTIMENTOS
237;140;9999;D;COM;APLICACAO MERCADO ABERTO;11812;;;#BCO;;;APLICACAO MERCADO ABERTO
