0003,Auto Posto Vila Antonio Ltda
0068,Agro Pecuaria Quantro A Limitada
0089,AVM Auto Equipamentos
0124,Mavitec Servicos S/C Ltda
0136,Nobelplast Embalagens
0138,Nel Administradora de Bens & Participacoes Ltda
0140,Coml. Prod. Hortifr. Oliveira & Silva Ltda
0143,Open Door Moveis para Escritorio Ltda
0146,Doce Delleite Comercio Ltda
0177,Clearpack do Brasil Embalagens Ltda
0178,Net Ralo Telecom. de Dados e Software Ltda
0284,Ace Engenharia e Construcoes Ltda
0332,Marcenaria e Carpintaria Bristol Ltda
0337,Misura Servicos Montagem E Carpintaria Ltda.
0338,Movestrutura Comercio e Servico de Moveis Ltda
0361,LD Engenharia Ltda
0367,Camargo Penteado Engenharia Ltda.
0388,APCP Engenharia Ltda
0418,Emco Administracao Ltda
0419,Irrigotec Irrig. por Gotejamento Ltda
0424,Soracy de Comunicacao Ltda
0441,Consult Engenharia Ltda
0458,Marquez Piza Serviços Ltda
0511,M Miraglia Coord. de Ativ. Ind. Ltda
0513,Oficina de Artes Producoes Ltda
0529,Ms Gomes Servicos de Orcamento Ltda
0537,Evandro Taddei Neto
0550,M. Halluli Interiores S/c Ltda
0551,Alexandre Gagliano de Freitas
0557,R Moraes Consultoria e Treinamento Ltda.
0607,Corretora de Seguros Elposs Ltda
0610,Rotary Clube de Sao Paulo - Butanta
0614,VP Representacoes Comerciais Ltda
0616,Net Access Com.e Servs.em Tel.e Inf Ltda
0622,Costa Mendes Servicos de Auxilio Empresarial Ltda
0625,Quatro A Empreendimentos Imobiliarios Ltda
0634,Rodrigues Ribeiro Engenharia e Consultoria Ltda.
0657,Plastcone Industria e Comercio de Embalagens Ltda
0658,Kassia Regina Cardoso
0663,Nobelpack Embalagens e Logistica Ltda.
0674,Moura Silva Representacoes Comerciais Ltda.
0689,Reginaldo de Jesus Lopes
0697,Dscon Solucoes Tecnologicas Ltda.
0711,MV Arquitetura e Midias Graficas Ltda.
0727,CRP - Assessoria Administrativa Ltda.
0738,Sypaba Empreendimentos Limitada.
0746,Classica Design Do Brasil Objetos De Arte Ltda
0747,Zilando Gagliano de Freitas
0758,Nest Consultoria Empresarial Ltda
0791,Idely Stancato
0816,Business Intelligence Desenvolvimento de Embalagens Ltda.
0818,Assoc. de Apoio a Crianca e Adoles. com Cancer - Anjo de Luz
0823,Adriana Sao Severo de Arruda
0826,Guilherme Augusto Lemelle Correa
0829,Flavio Correia Martins
0832,Cidade Jardim Design Ltda.
0833,Dalton Dynamics Quimica Industrial Ltda
0834,Uptec Brasil Tratamento de Superficies de Pecas Ltda
0841,Ers Tecnologia Ltda.
0844,Saralei Access S/s Ltda
0851,Promielt Engenharia Ltda
0854,Promielt Construtora Ltda
0856,Aguia Dourada Assessoria Coaching e Treinamentos Ltda.
0857,Mulheres Prosperas Empreendimentos Imobiliarios Ltda.
0861,Dalton Dynamics Internacional Ltda
0862,L Menezes Organizacao e Coordenacao de Festas e Eventos Ltda
0866,Eunice de Oliveira Arribas Puerto
0867,RGL Administracao de Bens e Participacoes Ltda.
0874,Alexandra Carlier Arquitetura
0895,Quatrinvest Administradora de Recursos Ltda.
0896,Carg Comercio E Servicos De Manutencao E Reparacao Ltda
0897,C.D.S. Rodrigues Oculos
0902,PBO Mendes Participações Ltda
0904,Venezia Empreendimentos e Participacoes Ltda.
0920,Estudio Eter Computacao Grafica Ltda
0923,Carlos Gregório Zrncic Guinle
0927,Prado Aluminio Industria e Comercio Ltda.
0942,Dina Pinheiro Vilela Editora
0959,Aaron Fabricio Sociedade Individual de Advocacia
0962,Saint Carlo Comercio de Alimentos Ltda
0985,Academia de Ballet Paula Firetti Ltda
0989,Fenac Consultoria de Imóveis Ltda
0993,Saint Carlo Festas e Eventos Ltda
1010,Pcbox Servicos de Informatica Ltda.
1011,Replac Representações Planejamento Comercialização Ltda.
1012,Planus Serviços Comerciais Ltda
1033,Rccg Alianca Italiana Patrimonial Ltda
1036,Lenice dos S Rodrigues Óculos
1056,Sypaba Exploracao Agricola Ltda
1057,Marcelo Moreira Rocha Ferreira
1059,BML Servicos de Aux. Emp. Imp. e Com. Prod. A.em Geral Ltda
1060,Elza Alcantara Perfumes e Cosmeticos
1061,Editora Sunshine Ltda.
1063,Thais Galvao Soares
1077,Jule Servicos Empresariais Ltda
1080,Vektran Sistemas de Monitoramento Ltda
1099,MA Clean Representacao Comercial Ltda.
1116,Olitel Integradora de Sistemas de Telecomunicacoes Ltda
1138,Luana dos Santos Rodrigues
1139,RKM Cintos de Seguranca Ltda
1148,Olitel Brasil Telecomunicacoes S.a.
1149,Seven Administradora e Participacoes Ltda.
1152,Olibras Telecomunicacoes Ltda
1154,Olifac Factoring - Fomento Mercantil Ltda.
1161,Marcos Francisco Barboza Mendes
1184,Smartfield do Brasil Ltda
1192,Trovato Assessoria e Negocios Imobiliarios Ltda.
1197,Berrante Brasil Bar Ltda
1204,Clima-Save Instalacao e Manutencao Ltda.
1205,Clima-Save Engenharia Termica Ltda
1211,BLCG Consultoria Ltda.
1220,Clima Save Engenharia e Comercio Ltda
1229,SM Servicos de Limpeza Ltda.
1234,Ana Cristina Galvao Soares Acessorios
1247,Bats Modas Com de Roup Calcados e Acessorios Ltda
1258,A. Gioia Servicos de Computacao Grafica Ltda.
1271,Simone Maragni
1272,Antaradus Participacoes e Empreendimentos Ltda.
1273,Ricardo Juliao Arquitetura Urbanismo e Comercio Ltda.
1274,Ricardo Juliao Arquitetura e Urbanismo S/S Ltda.
1275,Juliao & Arquitetos S/S Ltda.
1278,Office Plaza Comercio e Servicos Ltda.
1279,Prisma Aluminio Industria e Comercio Ltda
1281,RAM2 Arquitetura Construcoes e Comercio S/A
1283,High Nutri Suplementos e Vitaminas Ltda.
